Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
77,2,True,True,True,Amirieh,1771000000.0,59033.33
72,2,True,True,True,Amirieh,1650000000.0,55000.0
74,2,True,True,True,Amirieh,1700000000.0,56666.67
74,2,True,True,True,Amirieh,1700000000.0,56666.67
88,2,True,True,True,Amirieh,2024000000.0,67466.67
70,2,True,True,True,Amirieh,1630000000.0,54333.33
96,2,True,True,True,Amirieh,2210000000.0,73666.67
74,2,True,True,True,Amirieh,1700000000.0,56666.67
80,2,True,True,True,Amirieh,1800000000.0,60000.0
72,2,True,True,True,Amirieh,1670000000.0,55666.67
71,2,True,True,True,Amirieh,1650000088.0,55000.0
86,2,True,True,True,Amirieh,1980000000.0,66000.0
